1 AV_L,UNION SQ/GRAMERCY
103 ST_1,UPPER WEST SIDE
103 ST_6,UPPER EAST SIDE
103 ST_BC,UPPER WEST SIDE
110 ST_6,HARLEM/EAST HARLEM
116 ST_23,HARLEM/EAST HARLEM
116 ST_6,HARLEM/EAST HARLEM
116 ST_BC,MORNINGSIDE HEIGHTS
116 ST-COLUMBIA_1,MORNINGSIDE HEIGHTS
125 ST_1,MORNINGSIDE HEIGHTS
125 ST_23,HARLEM/EAST HARLEM
125 ST_456,HARLEM/EAST HARLEM
125 ST_ABCD,MORNINGSIDE HEIGHTS
135 ST_23,HARLEM/HAMILTON HEIGHTS
135 ST_BC,HARLEM/HAMILTON HEIGHTS
137 ST CITY COL_1,HARLEM/HAMILTON HEIGHTS
14 ST_123FLM,CHELSEA
14 ST_ACEL,CHELSEA
14 ST_123FLM,CHELSEA
14 ST-UNION SQ_456LNQR,UNION SQ/GRAMERCY
145 ST_1,HARLEM/HAMILTON HEIGHTS
145 ST_3,HARLEM/HAMILTON HEIGHTS
145 ST_ABCD,HARLEM/HAMILTON HEIGHTS
155 ST_BD,HARLEM/HAMILTON HEIGHTS
155 ST_C,HARLEM/HAMILTON HEIGHTS
157 ST_1,HARLEM/HAMILTON HEIGHTS
163 ST-AMSTERDM_C,WASHINGTON HEIGHTS
168 ST_1AC,WASHINGTON HEIGHTS
175 ST_A,WASHINGTON HEIGHTS
18 ST_1,CHELSEA
181 ST_1,WASHINGTON HEIGHTS
181 ST_A,WASHINGTON HEIGHTS
190 ST_A,WASHINGTON HEIGHTS
191 ST_1,WASHINGTON HEIGHTS
2 AV_F,EAST VILLAGE/LES
207 ST_1,INWOOD
215 ST_1,INWOOD
23 ST_1,CHELSEA
23 ST_6,UNION SQ/GRAMERCY
23 ST_CE,CHELSEA
23 ST_FM,CHELSEA
23 ST_NR,UNION SQ/GRAMERCY
28 ST_1,CHELSEA
28 ST_6,UNION SQ/GRAMERCY
28 ST_NR,UNION SQ/GRAMERCY
3 AV_L,UNION SQ/GRAMERCY
33 ST_6,UNION SQ/GRAMERCY
34 ST-HERALD SQ_BDFMNQR,CHELSEA
34 ST-HUDSON YD_7,CHELSEA
